nohup: ignoring input
------------ Options -------------
arbitrary_len: False
batch_size: 128
checkpoints_dir: ./checkpoints/vae
clip_set: ./dataset/pose_clip_full.csv
coarse_grained: False
dataset_type: ntu_rgbd_vibe
decoder_hidden_layers: 2
dim_embedding: 768
dim_z: 30
eval_every: 2000
gpu_id: 0
hidden_size: 128
isTrain: True
is_continue: False
iters: 50000
lambda_align: 0.5
lambda_kld: 0.01
lambda_trajec: 0.8
lie_enforce: False
motion_length: 60
name: NTUembed
no_trajectory: False
plot_every: 50
posterior_hidden_layers: 1
print_every: 20
prior_hidden_layers: 1
save_every: 2000
save_latest: 50
skip_prob: 0
tf_ratio: 0.6
time_counter: True
use_geo_loss: False
use_lie: True
-------------- End ----------------
Total number of frames 249364, videos 3900, action types 13
GaussianGRU(
  (embed): Linear(in_features=823, out_features=128, bias=True)
  (gru): ModuleList(
    (0): GRUCell(128, 128)
  )
  (mu_net): Linear(in_features=128, out_features=30, bias=True)
  (logvar_net): Linear(in_features=128, out_features=30, bias=True)
)
Total parameters of prior net: 212284
GaussianGRU(
  (embed): Linear(in_features=823, out_features=128, bias=True)
  (gru): ModuleList(
    (0): GRUCell(128, 128)
  )
  (mu_net): Linear(in_features=128, out_features=30, bias=True)
  (logvar_net): Linear(in_features=128, out_features=30, bias=True)
)
Total parameters of posterior net: 212284
DecoderGRULie(
  (embed): Linear(in_features=853, out_features=128, bias=True)
  (gru): ModuleList(
    (0): GRUCell(128, 128)
    (1): GRUCell(128, 128)
  )
  (output): Linear(in_features=128, out_features=54, bias=True)
  (output_lie): Linear(in_features=51, out_features=51, bias=True)
)
Total parameters of decoder: 317074
0m 46s (- 1917m 19s) niter: 20 completed:   0%) g_loss: 0.043  g_recon_loss: 0.043  g_kld_loss: 0.089 
1m 31s (- 1911m 2s) niter: 40 completed:   0%) g_loss: 0.021  g_recon_loss: 0.021  g_kld_loss: 0.013 
2m 17s (- 1911m 2s) niter: 60 completed:   0%) g_loss: 0.016  g_recon_loss: 0.016  g_kld_loss: 0.005 
3m 1s (- 1890m 50s) niter: 80 completed:   0%) g_loss: 0.014  g_recon_loss: 0.014  g_kld_loss: 0.003 
3m 45s (- 1877m 7s) niter: 100 completed:   0%) g_loss: 0.012  g_recon_loss: 0.012  g_kld_loss: 0.002 
4m 30s (- 1870m 31s) niter: 120 completed:   0%) g_loss: 0.012  g_recon_loss: 0.012  g_kld_loss: 0.002 
5m 14s (- 1864m 33s) niter: 140 completed:   0%) g_loss: 0.011  g_recon_loss: 0.011  g_kld_loss: 0.002 
5m 58s (- 1863m 17s) niter: 160 completed:   0%) g_loss: 0.011  g_recon_loss: 0.011  g_kld_loss: 0.001 
6m 42s (- 1857m 17s) niter: 180 completed:   0%) g_loss: 0.010  g_recon_loss: 0.010  g_kld_loss: 0.002 
7m 27s (- 1856m 32s) niter: 200 completed:   0%) g_loss: 0.010  g_recon_loss: 0.010  g_kld_loss: 0.001 
8m 15s (- 1867m 1s) niter: 220 completed:   0%) g_loss: 0.010  g_recon_loss: 0.010  g_kld_loss: 0.001 
9m 9s (- 1899m 27s) niter: 240 completed:   0%) g_loss: 0.010  g_recon_loss: 0.010  g_kld_loss: 0.002 
10m 4s (- 1928m 52s) niter: 260 completed:   0%) g_loss: 0.010  g_recon_loss: 0.010  g_kld_loss: 0.002 
10m 59s (- 1951m 25s) niter: 280 completed:   0%) g_loss: 0.010  g_recon_loss: 0.010  g_kld_loss: 0.002 
11m 54s (- 1972m 29s) niter: 300 completed:   0%) g_loss: 0.010  g_recon_loss: 0.010  g_kld_loss: 0.002 
12m 48s (- 1988m 12s) niter: 320 completed:   0%) g_loss: 0.009  g_recon_loss: 0.009  g_kld_loss: 0.002 
13m 42s (- 2002m 28s) niter: 340 completed:   0%) g_loss: 0.010  g_recon_loss: 0.010  g_kld_loss: 0.003 
14m 36s (- 2014m 10s) niter: 360 completed:   0%) g_loss: 0.009  g_recon_loss: 0.009  g_kld_loss: 0.003 
15m 31s (- 2027m 57s) niter: 380 completed:   0%) g_loss: 0.009  g_recon_loss: 0.009  g_kld_loss: 0.003 
16m 26s (- 2038m 9s) niter: 400 completed:   0%) g_loss: 0.009  g_recon_loss: 0.009  g_kld_loss: 0.003 
17m 20s (- 2046m 56s) niter: 420 completed:   0%) g_loss: 0.009  g_recon_loss: 0.009  g_kld_loss: 0.003 
18m 14s (- 2054m 43s) niter: 440 completed:   0%) g_loss: 0.009  g_recon_loss: 0.009  g_kld_loss: 0.005 
19m 9s (- 2063m 47s) niter: 460 completed:   0%) g_loss: 0.009  g_recon_loss: 0.009  g_kld_loss: 0.005 
20m 3s (- 2069m 37s) niter: 480 completed:   0%) g_loss: 0.009  g_recon_loss: 0.008  g_kld_loss: 0.007 
20m 57s (- 2074m 29s) niter: 500 completed:   1%) g_loss: 0.009  g_recon_loss: 0.009  g_kld_loss: 0.010 
21m 50s (- 2078m 27s) niter: 520 completed:   1%) g_loss: 0.009  g_recon_loss: 0.009  g_kld_loss: 0.011 
22m 43s (- 2081m 34s) niter: 540 completed:   1%) g_loss: 0.009  g_recon_loss: 0.009  g_kld_loss: 0.012 
23m 37s (- 2085m 1s) niter: 560 completed:   1%) g_loss: 0.009  g_recon_loss: 0.009  g_kld_loss: 0.018 
24m 30s (- 2087m 38s) niter: 580 completed:   1%) g_loss: 0.009  g_recon_loss: 0.008  g_kld_loss: 0.022 
25m 22s (- 2089m 40s) niter: 600 completed:   1%) g_loss: 0.009  g_recon_loss: 0.008  g_kld_loss: 0.023 
26m 16s (- 2093m 16s) niter: 620 completed:   1%) g_loss: 0.008  g_recon_loss: 0.008  g_kld_loss: 0.024 
27m 10s (- 2095m 36s) niter: 640 completed:   1%) g_loss: 0.008  g_recon_loss: 0.008  g_kld_loss: 0.021 
28m 3s (- 2098m 8s) niter: 660 completed:   1%) g_loss: 0.009  g_recon_loss: 0.008  g_kld_loss: 0.028 
28m 57s (- 2100m 28s) niter: 680 completed:   1%) g_loss: 0.009  g_recon_loss: 0.009  g_kld_loss: 0.021 
29m 51s (- 2103m 8s) niter: 700 completed:   1%) g_loss: 0.008  g_recon_loss: 0.008  g_kld_loss: 0.020 
30m 45s (- 2105m 4s) niter: 720 completed:   1%) g_loss: 0.008  g_recon_loss: 0.008  g_kld_loss: 0.021 
31m 38s (- 2105m 54s) niter: 740 completed:   1%) g_loss: 0.008  g_recon_loss: 0.008  g_kld_loss: 0.025 
32m 31s (- 2107m 18s) niter: 760 completed:   1%) g_loss: 0.008  g_recon_loss: 0.008  g_kld_loss: 0.029 
33m 25s (- 2109m 10s) niter: 780 completed:   1%) g_loss: 0.008  g_recon_loss: 0.007  g_kld_loss: 0.030 
34m 18s (- 2109m 49s) niter: 800 completed:   1%) g_loss: 0.008  g_recon_loss: 0.008  g_kld_loss: 0.032 
35m 11s (- 2110m 38s) niter: 820 completed:   1%) g_loss: 0.008  g_recon_loss: 0.008  g_kld_loss: 0.036 
36m 4s (- 2111m 38s) niter: 840 completed:   1%) g_loss: 0.008  g_recon_loss: 0.008  g_kld_loss: 0.033 
36m 58s (- 2112m 17s) niter: 860 completed:   1%) g_loss: 0.008  g_recon_loss: 0.008  g_kld_loss: 0.029 
37m 51s (- 2113m 23s) niter: 880 completed:   1%) g_loss: 0.008  g_recon_loss: 0.007  g_kld_loss: 0.027 
38m 53s (- 2121m 34s) niter: 900 completed:   1%) g_loss: 0.008  g_recon_loss: 0.007  g_kld_loss: 0.039 
40m 44s (- 2173m 16s) niter: 920 completed:   1%) g_loss: 0.008  g_recon_loss: 0.007  g_kld_loss: 0.050 
42m 35s (- 2222m 39s) niter: 940 completed:   1%) g_loss: 0.008  g_recon_loss: 0.007  g_kld_loss: 0.034 
44m 16s (- 2261m 48s) niter: 960 completed:   1%) g_loss: 0.007  g_recon_loss: 0.007  g_kld_loss: 0.024 
46m 7s (- 2307m 34s) niter: 980 completed:   1%) g_loss: 0.007  g_recon_loss: 0.007  g_kld_loss: 0.027 
47m 30s (- 2327m 50s) niter: 1000 completed:   2%) g_loss: 0.007  g_recon_loss: 0.007  g_kld_loss: 0.026 
48m 23s (- 2323m 26s) niter: 1020 completed:   2%) g_loss: 0.008  g_recon_loss: 0.007  g_kld_loss: 0.035 
49m 15s (- 2318m 41s) niter: 1040 completed:   2%) g_loss: 0.007  g_recon_loss: 0.007  g_kld_loss: 0.041 
49m 59s (- 2307m 55s) niter: 1060 completed:   2%) g_loss: 0.007  g_recon_loss: 0.007  g_kld_loss: 0.034 
50m 42s (- 2297m 8s) niter: 1080 completed:   2%) g_loss: 0.007  g_recon_loss: 0.007  g_kld_loss: 0.034 
51m 26s (- 2286m 58s) niter: 1100 completed:   2%) g_loss: 0.007  g_recon_loss: 0.007  g_kld_loss: 0.036 
52m 11s (- 2277m 39s) niter: 1120 completed:   2%) g_loss: 0.007  g_recon_loss: 0.007  g_kld_loss: 0.046 
52m 55s (- 2268m 17s) niter: 1140 completed:   2%) g_loss: 0.007  g_recon_loss: 0.007  g_kld_loss: 0.032 
53m 38s (- 2258m 46s) niter: 1160 completed:   2%) g_loss: 0.007  g_recon_loss: 0.007  g_kld_loss: 0.040 
54m 23s (- 2250m 0s) niter: 1180 completed:   2%) g_loss: 0.007  g_recon_loss: 0.007  g_kld_loss: 0.036 
55m 7s (- 2241m 44s) niter: 1200 completed:   2%) g_loss: 0.007  g_recon_loss: 0.007  g_kld_loss: 0.039 
55m 58s (- 2238m 12s) niter: 1220 completed:   2%) g_loss: 0.007  g_recon_loss: 0.006  g_kld_loss: 0.040 
56m 49s (- 2234m 46s) niter: 1240 completed:   2%) g_loss: 0.007  g_recon_loss: 0.007  g_kld_loss: 0.031 
57m 39s (- 2230m 27s) niter: 1260 completed:   2%) g_loss: 0.007  g_recon_loss: 0.006  g_kld_loss: 0.033 
58m 23s (- 2222m 30s) niter: 1280 completed:   2%) g_loss: 0.007  g_recon_loss: 0.006  g_kld_loss: 0.037 
59m 7s (- 2215m 8s) niter: 1300 completed:   2%) g_loss: 0.007  g_recon_loss: 0.007  g_kld_loss: 0.043 
59m 51s (- 2207m 28s) niter: 1320 completed:   2%) g_loss: 0.006  g_recon_loss: 0.006  g_kld_loss: 0.029 
60m 35s (- 2200m 20s) niter: 1340 completed:   2%) g_loss: 0.007  g_recon_loss: 0.007  g_kld_loss: 0.059 
61m 19s (- 2193m 15s) niter: 1360 completed:   2%) g_loss: 0.008  g_recon_loss: 0.007  g_kld_loss: 0.061 
62m 3s (- 2186m 27s) niter: 1380 completed:   2%) g_loss: 0.007  g_recon_loss: 0.007  g_kld_loss: 0.034 
62m 47s (- 2179m 55s) niter: 1400 completed:   2%) g_loss: 0.007  g_recon_loss: 0.007  g_kld_loss: 0.044 
63m 31s (- 2173m 25s) niter: 1420 completed:   2%) g_loss: 0.007  g_recon_loss: 0.007  g_kld_loss: 0.046 
64m 16s (- 2167m 21s) niter: 1440 completed:   2%) g_loss: 0.007  g_recon_loss: 0.006  g_kld_loss: 0.036 
65m 8s (- 2165m 44s) niter: 1460 completed:   2%) g_loss: 0.007  g_recon_loss: 0.007  g_kld_loss: 0.046 
66m 0s (- 2164m 15s) niter: 1480 completed:   2%) g_loss: 0.007  g_recon_loss: 0.006  g_kld_loss: 0.042 
66m 52s (- 2162m 10s) niter: 1500 completed:   3%) g_loss: 0.007  g_recon_loss: 0.006  g_kld_loss: 0.048 
67m 43s (- 2160m 14s) niter: 1520 completed:   3%) g_loss: 0.006  g_recon_loss: 0.006  g_kld_loss: 0.035 
68m 30s (- 2155m 37s) niter: 1540 completed:   3%) g_loss: 0.006  g_recon_loss: 0.006  g_kld_loss: 0.035 
69m 15s (- 2150m 24s) niter: 1560 completed:   3%) g_loss: 0.007  g_recon_loss: 0.006  g_kld_loss: 0.054 
69m 59s (- 2144m 58s) niter: 1580 completed:   3%) g_loss: 0.006  g_recon_loss: 0.006  g_kld_loss: 0.050 
70m 44s (- 2140m 4s) niter: 1600 completed:   3%) g_loss: 0.007  g_recon_loss: 0.007  g_kld_loss: 0.049 
